card_id,card_type,state,title,path,wc,edges,tags
sha256:0056b9e7ab8f1795,doc,raw,Что concept document NOT (это не grant / не paper / не busin,docs/anthropic-vacancies/beneficial-deployments-concept/11-not-and-format.md,383,0,roadmap|anthropic
sha256:00e0a0a369073325,doc,raw,10. QueryResult Structure,docs/02-anthropic-vacancies/22-10-queryresult-structure.md,356,7,anthropic
sha256:00f023c39d5cda01,doc,raw,1. Why Single-Triangle Models Are Incomplete,docs/obsidian/02-anthropic-vacancies/138-1-why-single-triangle-models-are-incomplete.md,602,0,architecture|anthropic
sha256:01053b307e01f1d8,doc,raw,Когда сомневаешься — escalate к Max,docs/02-anthropic-vacancies/362-когда-сомневаешься-escalate-к-max.md,123,0,architecture
sha256:011ec5447ad562b4,doc,raw,Примеры запросов (в Claude),docs/02-anthropic-vacancies/129-примеры-запросов-в-claude.md,320,5,collaboration
sha256:013a434d5d37e3b1,doc,raw,Богатство словаря документов,docs/VOCABULARY.md,882,0,
sha256:01450dc475aa9df7,doc,raw,ADR: [Название решения],docs/templates/decision-record.md,84,0,архитектура|решение
sha256:01658dec9a3e12fe,doc,raw,Technical Program Management — 10 ролей,docs/anthropic-vacancies/clusters/12-technical-program-management.md,90,0,architecture|anthropic|self-improvement
sha256:016d3d68a2578cb3,doc,raw,Комбинация 8: Conductor × adversarial-review × Auto AI Route,docs/technology-combinations/combinations/08-conductor-adversarial-review-auto-ai-router.md,686,0,memory|rag|orchestration|ingestion|local-first|architecture|collaboration
sha256:019e2e9b3009f6a7,doc,raw,Отладка,docs/02-anthropic-vacancies/130-отладка.md,261,6,ingestion
sha256:01b0bead4db60460,doc,raw,3. Registry (`nautilus.json`),docs/obsidian/02-anthropic-vacancies/08-3-registry-nautilus-json.md,416,0,architecture
sha256:01beb93f5fc8eb77,doc,raw,15. Glossary of Examples,docs/obsidian/02-anthropic-vacancies/27-15-glossary-of-examples.md,114,0,collaboration
sha256:01dc72e14aa02b4e,doc,raw,4. Passport (`passport.md`),docs/nautilus/npp-v1-0/04-passport.md,237,0,anthropic|collaboration
sha256:022f1021c865e788,doc,raw,Практичный бюджетный роутинг моделей,docs/svyazi-2-0/security/budget-routing.md,329,0,rag|security|ingestion|architecture|self-improvement
sha256:0233787f3f06e63d,doc,raw,5. Архитектурная спецификация,docs/nautilus/representative-agent-layer-ru/05-arkhitekturnaya-spetsifikatsiya.md,601,0,local-first|architecture|anthropic
sha256:024907bf9e3f9839,doc,raw,Индекс тегов,docs/TAGS.md,600,0,
sha256:0262850dcdb3e626,doc,raw,Оценка читаемости документов,docs/obsidian/COMPLEXITY.md,642,0,memory|local-first|architecture|self-improvement
sha256:026e85a6490f8e10,doc,raw,1. Why Single-Triangle Models Are Incomplete,docs/nautilus/double-triangle-architecture/01-why-single-triangle-incomplete.md,466,0,architecture|anthropic
sha256:02a319781695c87f,doc,raw,References,docs/nautilus/double-triangle-architecture/10-references.md,278,0,roadmap|anthropic|collaboration
sha256:02df9703dded6e82,doc,raw,Дайджест изменений,docs/DIGEST.md,360,0,rag|architecture|roadmap|collaboration
sha256:03043427c4f634af,doc,raw,8. Risk Analysis,docs/nautilus/okwf-concept/08-risk-analysis.md,643,0,rag|roadmap|anthropic
sha256:033da63661f30516,doc,raw,4. Архитектура Профессиональных Коллег-Агентов,docs/obsidian/02-anthropic-vacancies/235-4-архитектура-профессиональных-коллег-агентов.md,869,0,architecture|collaboration
sha256:034ece32a43fa21a,doc,raw,Сходство 2: Persistent memory — Layer B функциональность,docs/anthropic-vacancies/hermes-comparison/02-similarity-2-persistent-memory.md,150,0,architecture|anthropic
sha256:035641b4606795f8,doc,raw,Поисковый индекс,docs/SEARCH.md,9457,1,memory|rag|orchestration|security|knowledge|ingestion|local-first|architecture|roadmap|anthropic|self-improvement|collaboration
sha256:0382d413230f8de6,doc,raw,Acknowledgments,docs/nautilus/double-triangle-architecture/09-acknowledgments.md,208,0,rag|roadmap|anthropic
sha256:0397d577fa513385,doc,raw,Твоя identity как persistent character,docs/obsidian/02-anthropic-vacancies/363-твоя-identity-как-persistent-character.md,158,0,knowledge|roadmap
sha256:03b3284cb836d98d,doc,raw,14 limitations,docs/01-svyazi/14-limitations.md,638,0,memory|rag|orchestration|ingestion|local-first|architecture|roadmap|self-improvement|collaboration
sha256:03bb55c75a1069c1,doc,raw,Public Policy — 5 ролей,docs/anthropic-vacancies/clusters/14-public-policy.md,88,0,anthropic
sha256:03bf44a35038b05d,doc,raw,История метрик KPI,docs/obsidian/KPI_HISTORY.md,113,0,anthropic
sha256:03c7b77405adc9c7,doc,raw,Safeguards (Trust & Safety) — 21 роль,docs/anthropic-vacancies/clusters/08-safeguards-trust-safety.md,111,0,anthropic
sha256:03d254113025e4bf,doc,raw,"Claude hat geantwortet: Прочитаю статью, чтобы понимать конк",docs/nautilus/community-discussions/habr-article-2-reaction/01-response.md,2792,0,architecture|roadmap|anthropic|collaboration
sha256:03eefb179c0ad5e2,doc,raw,Сводная таблица 15–19 (Extended),docs/technology-combinations/synthesis-tables/15-19-extended.md,162,5,memory|rag|orchestration|ingestion|local-first
sha256:03f5854f428b0009,doc,raw,Пара 2 — Local-first PKM (Obsidian/Logseq) × MCP/Skills,docs/habr-unique-projects/software-pairs/2-pkm-mcp-skills.md,302,0,memory|knowledge|local-first|anthropic|collaboration
sha256:04afdc15fe754612,doc,raw,Индекс тегов,docs/obsidian/TAGS.md,610,0,
sha256:04b6508f474655ac,doc,raw,Метаскриптинг — Часть 5: Синтез новых скриптов,docs/meta-scripting/05-synthesis.md,503,0,knowledge|roadmap|self-improvement
sha256:04ec3c8013719ce1,doc,raw,Синтез: как проекты собираются вместе,docs/obsidian/05-habr-projects/01-synthesis.md,262,0,architecture|roadmap
sha256:05163d51e7e15122,doc,raw,Сравнение с предыдущим коммитом,docs/obsidian/COMPARE.md,498,0,memory|rag|architecture|roadmap|anthropic|collaboration
sha256:0549816a8b45e460,project,raw,Смежные проекты в контексте,docs/ai-collaborations/candidates/02-related-projects-context.md,194,0,ingestion|architecture|self-improvement|collaboration
sha256:05dac6059f4af5b0,doc,raw,Appendix B: Change Log,docs/02-anthropic-vacancies/103-appendix-b-change-log.md,333,7,rag|architecture
sha256:05e4e0c79e11b2ed,doc,raw,8. Risks and Mitigations,docs/nautilus/representative-agent-layer-en/08-risks-mitigations.md,486,0,rag|orchestration|ingestion|local-first|architecture|anthropic|self-improvement
sha256:067b54a158c7a29a,doc,raw,5. Четыре пути интеграции в порядке доступности,docs/obsidian/02-anthropic-vacancies/331-5-четыре-пути-интеграции-в-порядке-доступности.md,804,0,architecture|anthropic|collaboration
sha256:06d746d6a84d9f47,doc,raw,5. Compatibility Levels,docs/obsidian/02-anthropic-vacancies/17-5-compatibility-levels.md,331,0,memory|anthropic|collaboration
sha256:06dc007b2c3741f7,doc,raw,Глоссарий понятий,docs/obsidian/CONCEPTS.md,13271,0,memory|rag|orchestration|security|knowledge|ingestion|local-first|architecture|roadmap|anthropic|self-improvement|collaboration
sha256:06ffa326e4f7ffb8,doc,raw,11. Call for Collaboration,docs/obsidian/02-anthropic-vacancies/180-11-call-for-collaboration.md,466,0,ingestion
sha256:0700d7c2bdbd125a,doc,raw,4. Passport (`passport.md`),docs/02-anthropic-vacancies/09-4-passport-passport-md.md,324,8,anthropic
sha256:072488063ac523f8,doc,raw,Когда ты Honestly не знаешь,docs/obsidian/02-anthropic-vacancies/361-когда-ты-honestly-не-знаешь.md,102,0,anthropic
sha256:0775cd2988d2b65a,doc,raw,Комментарий: дизайн-решения NPP v1.0,docs/nautilus/npp-v1-0/18-comment-on-document.md,454,0,security|architecture|anthropic|collaboration
sha256:077a2cb1f3acb1dc,doc,raw,Главные технические риски,docs/obsidian/02-anthropic-vacancies/120-главные-технические-риски.md,95,0,collaboration
sha256:078e2d89162aab45,doc,raw,Что промышленность вероятно построит,docs/obsidian/02-anthropic-vacancies/297-что-промышленность-вероятно-построит.md,331,0,architecture|anthropic|collaboration
